latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
65.7902,5.44899,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,5.2,70,19.4,190,2,71,1026.7,1026.7,1.88,263,0.26,202,1.1,18,NaN
2025-02-01T07:00,5.2,66,22,185,1,17,1026.6,1026.6,1.94,261,0.36,198,1.2,27,NaN
2025-02-01T08:00,5.4,68,24.5,180,1,37,1027,1027,2.02,259,0.46,195,1.4,23,NaN
2025-02-01T09:00,5.7,70,31.2,173,2,93,1026.5,1026.5,2.08,257,0.56,191,1.5,21,NaN
2025-02-01T10:00,5.8,70,31.9,173,3,100,1026.4,1026.4,2.18,254,0.68,189,1.5,21,NaN
2025-02-01T11:00,6.2,67,35,171,3,100,1025.8,1025.8,2.3,251,0.82,186,1.7,18,NaN
2025-02-01T12:00,6.2,67,37.5,168,3,100,1025.1,1025.1,2.4,248,0.94,184,1.7,18,NaN
2025-02-01T13:00,6.3,70,38.8,169,3,99,1025,1025,2.6,245,1.08,183,1.7,13,NaN
2025-02-01T14:00,6.4,69,39.8,165,3,98,1024.5,1024.5,2.78,243,1.24,182,1.7,13,NaN
2025-02-01T15:00,6.2,71,42.3,175,3,96,1024.9,1024.9,2.98,240,1.38,181,1.6,6,NaN
2025-02-01T16:00,6.2,69,43.5,170,3,96,1024.1,1024.1,3.06,238,1.46,180,1.6,6,NaN
2025-02-01T17:00,6,70,44.8,168,3,98,1024.1,1024.1,3.12,236,1.54,179,1.6,6,NaN
2025-02-01T18:00,6.3,76,42.8,165,3,100,1023.8,1023.8,3.2,234,1.62,178,1.5,7,NaN
2025-02-01T19:00,6.3,77,43.9,157,3,100,1023.1,1023.1,3.22,233,1.64,177,1.6,6,NaN
2025-02-01T20:00,6.4,78,45.3,152,3,100,1022.7,1022.7,3.26,233,1.64,177,1.6,6,NaN
2025-02-01T21:00,6.3,83,45.2,153,3,100,1022,1022,3.28,232,1.66,176,1.7,13,NaN
2025-02-01T22:00,6.4,82,46.3,158,3,100,1021.4,1021.4,3.38,232,1.68,175,1.8,11,NaN
2025-02-01T23:00,6.6,83,44.5,160,3,100,1020.8,1020.8,3.48,232,1.72,173,1.8,11,NaN
2025-02-02T00:00,6.5,81,43.6,163,3,100,1020.2,1020.2,3.58,232,1.74,172,1.8,11,NaN
2025-02-02T01:00,6.7,79,43.8,162,3,100,1020,1020,3.78,232,1.82,173,1.8,6,NaN
2025-02-02T02:00,6.7,80,44.6,161,3,100,1019.4,1019.4,4,231,1.92,174,1.8,6,NaN
