latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
54.54,6.22,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),weather_code (wmo code),cloud_cover (%),pressure_msl (hPa),surface_pressure (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,6.1,85,229,16.6,61,100,1031.4,1031.4,1.02,325,0.04,225,0.5,270,NaN
2025-02-01T07:00,6.2,84,226,15.5,61,94,1031.4,1031.4,0.98,324,0.08,226,0.5,90,NaN
2025-02-01T08:00,6.2,84,217,14.4,61,96,1031.5,1031.5,0.96,324,0.1,228,1.3,98,NaN
2025-02-01T09:00,6.2,86,203,16.5,61,95,1031.7,1031.7,0.92,323,0.14,229,1.5,97,NaN
2025-02-01T10:00,6.4,84,214,18.2,61,94,1031.4,1031.4,0.88,321,0.18,231,1.6,96,NaN
2025-02-01T11:00,6.4,86,219,21,80,96,1031.2,1031.2,0.86,318,0.24,234,1.3,98,NaN
2025-02-01T12:00,6.5,85,226,19.9,3,89,1031.2,1031.2,0.82,316,0.28,236,0.7,90,NaN
2025-02-01T13:00,6.4,86,230,19.2,2,81,1031,1031,0.8,314,0.24,234,0.3,315,NaN
2025-02-01T14:00,6.4,83,235,17.1,3,90,1030.7,1030.7,0.8,311,0.22,233,0.6,304,NaN
2025-02-01T15:00,6.4,81,239,15.2,3,88,1030.4,1030.4,0.78,309,0.18,231,1,292,NaN
2025-02-01T16:00,6.4,79,238,13.6,2,73,1030.3,1030.3,0.76,309,0.14,229,1.1,279,NaN
2025-02-01T17:00,6.2,77,225,11.7,2,70,1029.9,1029.9,0.74,309,0.12,226,1.1,270,NaN
2025-02-01T18:00,5.6,82,210,12.4,2,79,1029.9,1029.9,0.72,309,0.08,224,0.6,252,NaN
2025-02-01T19:00,5.7,82,201,12.3,2,73,1030.1,1030.1,0.7,308,0.1,219,0.4,117,NaN
2025-02-01T20:00,5.4,82,195,14.1,2,72,1029.7,1029.7,0.68,308,0.12,215,1.3,90,NaN
2025-02-01T21:00,5.1,82,191,15.7,2,71,1029.4,1029.4,0.66,307,0.14,210,1.6,90,NaN
2025-02-01T22:00,4.7,86,182,18,2,77,1028.8,1028.8,0.68,304,0.16,206,1.6,90,NaN
2025-02-01T23:00,4.3,88,176,19.9,2,78,1028.1,1028.1,0.68,300,0.2,201,1.5,83,NaN
2025-02-02T00:00,4.8,84,178,19.1,3,62,1027.7,1027.7,0.7,297,0.22,197,0.7,76,NaN
2025-02-02T01:00,4.3,89,179,19.4,2,82,1027.4,1027.4,0.72,290,0.26,196,0.4,0,NaN
