latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-03T08:00,8.4,90,44.3,172,99,1013.2,1013.2,3,2.88,198,2.4,180,1.7,13,NaN
2025-02-03T09:00,8.4,91,44.5,174,100,1013.1,1013.1,61,2.88,197,2.46,180,1.7,18,NaN
2025-02-03T10:00,8.4,91,47.5,179,100,1013.2,1013.2,61,2.96,195,2.56,180,1.7,18,NaN
2025-02-03T11:00,8.4,90,49,182,100,1013.1,1013.1,61,3.02,194,2.64,179,1.6,27,NaN
2025-02-03T12:00,8.1,90,50.9,176,100,1012.4,1012.4,61,3.1,192,2.74,179,1.5,30,NaN
2025-02-03T13:00,8.1,90,52.4,175,100,1011.9,1011.9,61,3.16,192,2.8,179,1.3,34,NaN
2025-02-03T14:00,8.1,91,52.3,176,100,1011.4,1011.4,61,3.22,193,2.86,179,1.2,39,NaN
2025-02-03T15:00,8.3,92,50.1,178,100,1010.9,1010.9,61,3.28,193,2.92,179,1,45,NaN
2025-02-03T16:00,7.8,92,55.8,179,100,1011.2,1011.2,51,3.38,194,2.98,179,0.9,37,NaN
2025-02-03T17:00,7.9,92,54.7,183,100,1011,1011,51,3.46,194,3.06,179,1,22,NaN
2025-02-03T18:00,7.9,92,56.9,180,100,1010.8,1010.8,51,3.56,195,3.12,179,1.1,18,NaN
2025-02-03T19:00,7.9,92,58.7,178,100,1010.7,1010.7,51,3.52,196,3.06,179,1.1,18,NaN
2025-02-03T20:00,7.9,93,58.7,180,100,1010.5,1010.5,51,3.46,196,2.98,179,1.3,16,NaN
2025-02-03T21:00,8.1,92,55.8,185,100,1010.2,1010.2,3,3.42,197,2.92,179,1.5,14,NaN
