latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
75.75,8.5,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-02T20:00,3.5,83,63.9,176,3,100,1012.7,1012.7,6.02,192,4.64,176,1.3,0,NaN
2025-02-02T21:00,3.4,84,61.4,175,3,100,1012.7,1012.7,5.92,191,4.64,176,1.1,0,NaN
2025-02-02T22:00,3.5,83,60.3,172,3,100,1012.5,1012.5,5.86,190,4.64,175,1.1,0,NaN
2025-02-02T23:00,3.4,83,62,171,3,100,1012.6,1012.6,5.82,189,4.66,175,1.1,0,NaN
2025-02-03T00:00,3.5,80,65.5,172,3,100,1012.7,1012.7,5.76,188,4.66,174,1.1,351,NaN
2025-02-03T01:00,3.5,77,66.3,174,3,100,1012.7,1012.7,5.8,187,4.74,174,1.3,352,NaN
2025-02-03T02:00,3.5,76,66.7,173,3,100,1012.5,1012.5,5.82,185,4.84,174,1.3,352,NaN
2025-02-03T03:00,3.5,74,67.9,171,3,100,1012.2,1012.2,5.86,184,4.92,174,1.3,352,NaN
2025-02-03T04:00,3.4,74,67.8,168,3,100,1012,1012,5.94,184,5.04,174,1.3,0,NaN
2025-02-03T05:00,3.3,75,67.5,165,3,100,1011.7,1011.7,6,183,5.16,175,1.3,0,NaN
2025-02-03T06:00,3.2,76,65.4,169,3,100,1011.9,1011.9,6.08,183,5.28,175,1.3,0,NaN
2025-02-03T07:00,3.2,76,64.2,173,3,100,1012.7,1012.7,6.06,182,5.1,173,1.3,0,NaN
2025-02-03T08:00,3.2,78,57.9,174,3,100,1013.4,1013.4,6.06,182,4.92,172,1.3,0,NaN
2025-02-03T09:00,3.3,77,54.9,172,3,100,1013.7,1013.7,6.04,181,4.74,170,1.1,0,NaN
