latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
71.541664,7.2916718,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa)
2025-01-15T00:00,2.94,218,0.74,185,0.8,27,4.6,,,,,,,,
2025-01-15T01:00,2.92,214,0.92,178,0.6,18,4.6,,,,,,,,
2025-01-15T02:00,2.92,209,1.12,170,0.6,18,4.6,,,,,,,,
2025-01-15T03:00,2.9,205,1.3,163,0.5,0,4.6,,,,,,,,
2025-01-15T04:00,2.98,202,1.56,167,0.6,342,4.6,,,,,,,,
2025-01-15T05:00,3.04,199,1.82,172,0.6,342,4.6,,,,,,,,
2025-01-15T06:00,3.12,196,2.08,176,0.7,346,4.6,,,,,,,,
2025-01-15T07:00,3.12,197,1.74,179,0.7,346,4.6,,,,,,,,
2025-01-15T08:00,3.14,199,1.38,182,0.9,0,4.6,,,,,,,,
2025-01-15T09:00,3.14,200,1.04,185,0.9,11,4.6,,,,,,,,
2025-01-15T10:00,3.14,203,1.08,200,1,31,4.6,,,,,,,,
2025-01-15T11:00,3.14,207,1.14,214,1,45,4.6,,,,,,,,
2025-01-15T12:00,3.14,210,1.18,229,0.9,53,4.6,,,,,,,,
2025-01-15T13:00,3.2,212,1.34,228,0.9,53,4.6,,,,,,,,
2025-01-15T14:00,3.24,214,1.5,226,0.8,63,4.6,,,,,,,,
2025-01-15T15:00,3.3,216,1.66,225,0.7,76,4.6,,,,,,,,
2025-01-15T16:00,3.48,217,2.06,225,0.7,76,4.6,,,,,,,,
2025-01-15T17:00,3.66,218,2.48,225,0.7,76,4.6,,,,,,,,
2025-01-15T18:00,3.84,219,2.88,225,0.7,76,4.6,,,,,,,,
2025-01-15T19:00,4.1,221,3.14,229,0.8,63,4.6,,,,,,,,
2025-01-15T20:00,4.36,223,3.42,234,0.8,63,4.6,,,,,,,,
2025-01-15T21:00,4.62,225,3.68,238,1,68,4.7,,,,,,,,
2025-01-15T22:00,4.84,227,3.8,242,1,68,4.7,,,,,,,,
2025-01-15T23:00,5.06,230,3.92,246,1,68,4.7,,,,,,,,
2025-01-16T00:00,5.28,232,4.04,250,1.1,72,4.7,,,,,,,,
2025-01-16T01:00,5.28,232,3.96,252,1.1,72,4.7,,,,,,,,
