latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
55.713024,5.6275177,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,5.8,76,5.2,245,1,39,1030.8,1030.8,0.98,323,0,225,0.4,333,NaN
2025-02-01T07:00,5.8,76,4.5,194,1,35,1030.7,1030.7,0.94,324,0.02,217,0.4,27,NaN
2025-02-01T08:00,5.9,75,8.1,167,2,61,1031,1031,0.92,324,0.02,208,0.5,45,NaN
2025-02-01T09:00,6,80,12.6,175,3,82,1031.1,1031.1,0.88,325,0.04,200,0.6,72,NaN
2025-02-01T10:00,6.2,76,13,175,2,71,1030.8,1030.8,0.84,325,0.06,196,0.7,90,NaN
2025-02-01T11:00,6.5,77,12.7,172,2,66,1030.6,1030.6,0.8,326,0.08,193,0.4,90,NaN
2025-02-01T12:00,6.5,82,13.1,171,2,61,1030.6,1030.6,0.76,326,0.1,189,0.3,45,NaN
2025-02-01T13:00,6.8,84,13,174,2,74,1030.2,1030.2,0.76,323,0.16,193,0.4,0,NaN
2025-02-01T14:00,6.9,85,12.1,190,3,86,1029.9,1029.9,0.76,321,0.2,197,0.4,333,NaN
2025-02-01T15:00,6.8,86,11.9,177,2,87,1029.4,1029.4,0.76,318,0.26,201,0.4,333,NaN
2025-02-01T16:00,6.8,84,15.7,196,3,86,1029.3,1029.3,0.78,310,0.3,206,0.5,315,NaN
2025-02-01T17:00,6.9,72,18.6,212,2,66,1029,1029,0.78,303,0.36,210,0.4,333,NaN
2025-02-01T18:00,6.6,75,21.6,210,3,95,1028.8,1028.8,0.8,295,0.4,215,0.2,0,NaN
2025-02-01T19:00,6.4,75,21.2,212,3,91,1029,1029,0.84,284,0.48,215,0.4,63,NaN
2025-02-01T20:00,6.5,74,21.4,207,3,84,1028.6,1028.6,0.88,272,0.56,214,0.9,53,NaN
2025-02-01T21:00,6.1,76,22.5,200,3,74,1028.1,1028.1,0.92,261,0.64,214,1,59,NaN
2025-02-01T22:00,5.9,77,24.7,196,2,59,1027.5,1027.5,1.02,253,0.76,214,1.1,72,NaN
2025-02-01T23:00,5.9,74,27.7,196,2,73,1026.8,1026.8,1.12,246,0.86,213,1,68,NaN
2025-02-02T00:00,5.7,77,27.9,195,3,78,1026.6,1026.6,1.22,238,0.98,213,0.8,45,NaN
2025-02-02T01:00,5.5,79,29.1,202,3,88,1026.4,1026.4,1.28,236,1,212,0.8,27,NaN
