latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
68.75416,6.497925,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),weather_code (wmo code),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-01T06:00,4.2,74,20.3,203,2,56,1025.4,1025.4,1.84,266,0.46,215,0.5,45,NaN
2025-02-01T07:00,4.3,73,22.1,196,2,56,1025.6,1025.6,1.96,262,0.58,211,0.6,34,NaN
2025-02-01T08:00,4.5,70,24.9,190,3,93,1026.1,1026.1,2.08,257,0.68,207,0.6,34,NaN
2025-02-01T09:00,4.3,67,30.9,187,3,94,1026,1026,2.2,253,0.8,203,0.8,27,NaN
2025-02-01T10:00,4.3,68,32.5,184,3,99,1025.9,1025.9,2.34,248,0.94,199,0.8,27,NaN
2025-02-01T11:00,4.6,69,33.5,183,3,100,1025.6,1025.6,2.46,244,1.1,195,0.9,11,NaN
2025-02-01T12:00,4.9,69,38.3,175,3,100,1025.1,1025.1,2.6,239,1.24,191,1.1,9,NaN
2025-02-01T13:00,5.4,65,39.1,174,3,100,1025,1025,2.78,236,1.38,188,1.1,9,NaN
2025-02-01T14:00,5.6,68,40.9,174,3,100,1024.5,1024.5,2.98,233,1.54,185,1.3,8,NaN
2025-02-01T15:00,5.3,74,42.9,169,3,100,1024.9,1024.9,3.16,230,1.68,182,1.1,9,NaN
2025-02-01T16:00,5.3,74,45.2,169,3,100,1024.4,1024.4,3.26,228,1.76,179,1.1,0,NaN
2025-02-01T17:00,5.3,73,47,165,3,100,1024.4,1024.4,3.38,226,1.84,177,1.1,0,NaN
2025-02-01T18:00,5.2,71,47.4,163,3,100,1024.1,1024.1,3.48,224,1.92,174,1.1,0,NaN
2025-02-01T19:00,5.2,71,49.6,164,3,100,1023.7,1023.7,3.54,222,2,174,1.1,0,NaN
2025-02-01T20:00,5.2,73,51.1,165,3,100,1023.3,1023.3,3.58,220,2.1,175,1.1,0,NaN
2025-02-01T21:00,5.1,73,51,161,3,100,1023,1023,3.64,218,2.18,175,1.1,9,NaN
2025-02-01T22:00,5.2,72,50.8,162,3,100,1022.1,1022.1,3.74,216,2.32,176,1.3,0,NaN
2025-02-01T23:00,5.3,72,52.2,160,3,100,1021.7,1021.7,3.82,215,2.46,176,1.3,8,NaN
2025-02-02T00:00,5,73,52.7,158,3,100,1020.4,1020.4,3.92,213,2.6,177,1.3,8,NaN
2025-02-02T01:00,4.9,74,54.1,161,3,100,1020.4,1020.4,4.04,212,2.7,177,1.4,0,NaN
2025-02-02T02:00,5,78,54.1,161,3,100,1019.6,1019.6,4.14,211,2.8,177,1.4,0,NaN
2025-02-02T03:00,5.2,81,55.4,158,3,100,1019.4,1019.4,4.26,210,2.9,177,1.4,0,NaN
2025-02-02T04:00,5.1,77,54.9,160,3,99,1019.4,1019.4,4.34,210,2.94,177,1.4,0,NaN
2025-02-02T05:00,5.1,78,54.5,159,3,97,1019,1019,4.4,210,2.98,176,1.4,0,NaN
2025-02-02T06:00,4.9,77,54.1,160,3,99,1018.2,1018.2,4.48,210,3.02,176,1.3,0,NaN
2025-02-02T07:00,5.1,80,54.7,163,3,100,1017.9,1017.9,4.56,210,3.1,177,1.3,0,NaN
2025-02-02T08:00,5.2,77,54.7,163,3,100,1017.6,1017.6,4.64,210,3.18,177,1.3,0,NaN
2025-02-02T09:00,5.4,74,53.4,165,3,100,1018.3,1018.3,4.72,210,3.26,178,1.3,8,NaN
2025-02-02T10:00,5.7,72,53.4,165,3,100,1018,1018,4.78,209,3.34,179,1.5,7,NaN
2025-02-02T11:00,5.7,75,53.4,166,3,100,1017.4,1017.4,4.82,209,3.4,180,1.5,7,NaN
2025-02-02T12:00,6.2,75,54.9,166,3,100,1015.9,1015.9,4.88,208,3.48,181,1.5,7,NaN
2025-02-02T13:00,6.2,75,56.6,167,3,100,1015.4,1015.4,4.94,207,3.54,179,1.4,0,NaN
2025-02-02T14:00,6.2,77,57.7,165,3,100,1015.2,1015.2,4.98,206,3.6,178,1.6,0,NaN
2025-02-02T15:00,6.2,77,57.6,163,3,100,1015.4,1015.4,5.04,205,3.66,176,1.6,0,NaN
2025-02-02T16:00,6,76,59.3,162,3,100,1014.6,1014.6,5.14,203,3.78,174,1.6,354,NaN
2025-02-02T17:00,5.8,78,59.7,161,3,100,1014.2,1014.2,5.26,201,3.88,172,1.5,353,NaN
2025-02-02T18:00,5.7,78,60.1,162,3,100,1014,1014,5.36,199,4,170,1.5,353,NaN
2025-02-02T19:00,5.4,78,60.8,163,3,100,1013.7,1013.7,5.6,197,4.28,170,1.5,353,NaN
2025-02-02T20:00,5.4,78,60.5,166,3,100,1013.1,1013.1,5.84,195,4.54,170,1.6,0,NaN
2025-02-02T21:00,5.3,78,61.4,160,3,100,1011.9,1011.9,6.08,193,4.82,170,1.4,0,NaN
2025-02-02T22:00,5.1,80,63,160,61,100,1011,1011,6.12,192,4.86,169,1.4,0,NaN
2025-02-02T23:00,4.9,83,62.7,158,61,100,1010.3,1010.3,6.18,191,4.88,169,1.4,0,NaN
2025-02-03T00:00,4.7,85,60.4,158,61,100,1010.8,1010.8,6.22,190,4.92,168,1.4,0,NaN
2025-02-03T01:00,4.5,87,60,159,61,100,1010.8,1010.8,6.24,192,4.82,167,1.4,0,NaN
2025-02-03T02:00,4.6,87,60,157,61,100,1010.4,1010.4,6.24,193,4.74,167,1.4,0,NaN
2025-02-03T03:00,4.9,87,59.3,156,61,100,1009.4,1009.4,6.26,195,4.64,166,1.4,0,NaN
2025-02-03T04:00,5.1,86,59,160,61,100,1009.4,1009.4,6.14,196,4.5,166,1.4,0,NaN
2025-02-03T05:00,5.1,86,59.3,161,61,99,1009.1,1009.1,6.02,196,4.34,165,1.3,0,NaN
2025-02-03T06:00,5.2,86,57.7,156,61,98,1008.5,1008.5,5.9,197,4.2,165,1.3,0,NaN
2025-02-03T07:00,5.4,87,58.1,157,61,99,1008.2,1008.2,5.82,197,4.1,165,1.3,0,NaN
2025-02-03T08:00,5.8,86,57.3,161,61,100,1007.4,1007.4,5.72,196,4.02,164,1.1,0,NaN
2025-02-03T09:00,5.8,88,61.6,159,3,100,1007.7,1007.7,5.64,196,3.92,164,1.1,0,NaN
2025-02-03T10:00,6.2,88,60,164,3,100,1007.4,1007.4,5.54,195,3.76,164,1.1,0,NaN
2025-02-03T11:00,7,84,56.9,163,3,100,1007.1,1007.1,5.44,195,3.58,164,1.1,9,NaN
2025-02-03T12:00,6.2,91,56.1,162,61,91,1007,1007,5.34,194,3.42,164,1.1,9,NaN
2025-02-03T13:00,6.7,88,48.6,161,3,94,1006.2,1006.2,5.26,192,3.58,162,1.1,0,NaN
2025-02-03T14:00,6.1,89,58.3,156,3,100,1005.9,1005.9,5.16,189,3.74,161,1.3,0,NaN
2025-02-03T15:00,6.4,90,57.3,153,3,97,1005,1005,5.08,187,3.9,159,1.3,352,NaN
2025-02-03T16:00,6.4,93,65.5,161,51,100,1004.7,1004.7,5.12,183,4.06,158,1.3,352,NaN
2025-02-03T17:00,6.3,92,68.8,159,53,100,1003.9,1003.9,5.14,178,4.24,157,1.5,346,NaN
2025-02-03T18:00,6.3,91,68.4,161,53,100,1003.1,1003.1,5.18,174,4.4,156,1.5,346,NaN
2025-02-03T19:00,6.2,90,70.9,160,53,100,1002.6,1002.6,5.36,173,4.62,157,1.5,346,NaN
2025-02-03T20:00,6,90,73.1,159,53,100,1001.7,1001.7,5.54,173,4.84,159,1.5,346,NaN
2025-02-03T21:00,5.7,91,76.3,157,53,100,1000.9,1000.9,5.72,172,5.06,160,1.5,353,NaN
2025-02-03T22:00,5.8,91,75.2,161,55,100,1000.2,1000.2,6,174,5.3,161,1.6,354,NaN
2025-02-03T23:00,5.9,91,74.9,165,61,100,999.2,999.2,6.3,176,5.52,162,1.6,0,NaN
2025-02-04T00:00,5.6,92,73.8,164,61,100,998.2,998.2,6.58,178,5.76,163,1.6,0,NaN
2025-02-04T01:00,5.8,92,72.4,165,61,100,997.2,997.2,6.56,182,5.36,168,1.5,7,NaN
2025-02-04T02:00,6.2,92,70.6,166,61,100,996.3,996.3,6.54,187,4.98,172,1.5,14,NaN
2025-02-04T03:00,6.7,93,66.2,173,61,100,996.1,996.1,6.52,191,4.58,177,1.3,16,NaN
2025-02-04T04:00,6.7,90,41.8,190,61,100,995.9,995.9,6.58,198,3.6,185,1.2,27,NaN
2025-02-04T05:00,6.8,90,41.8,191,3,97,995.9,995.9,6.64,204,2.64,194,1,31,NaN
2025-02-04T06:00,6.8,90,39.6,200,1,20,995.9,995.9,6.7,211,1.66,202,0.9,37,NaN
2025-02-04T07:00,6.8,89,37.8,205,0,5,996.2,996.2,6.66,214,1.62,200,0.9,37,NaN
2025-02-04T08:00,6.8,85,39.2,204,1,43,996.6,996.6,6.64,218,1.58,198,0.8,27,NaN
2025-02-04T09:00,6.7,86,37.4,204,1,20,996.6,996.6,6.6,221,1.54,196,0.8,27,NaN
2025-02-04T10:00,6.7,87,35.3,203,3,97,996.3,996.3,6.74,223,1.54,193,0.8,27,NaN
